,load_kw,pv_kw_raw,price_import_gbp_per_kwh,price_export_gbp_per_kwh,ambient_c,cell_temp_c,carbon_intensity,soc,pch,pdis,pimp,pexp,pv_kw_eff,deg_cost_pv
2024-09-19 01:45:00,0.9137052447820716,0.0899733608343064,0.09,0.0315,24.999907397361905,27.280442341647,0.1855291427061512,0.9499999125,1.74999999824621e-06,0.0,0.8251944733066399,0.0,0.08851252147543004,3.28688855747182e-05
2024-09-19 02:00:00,0.8455180437966981,0.102550654236699,0.09,0.0315,24.999907397361905,27.59923622511107,0.2,0.9499999956249999,8.750000057844431e-08,0.0,0.744762385918023,0.0,0.10075574537867571,4.038544930552401e-05
2024-09-19 02:15:00,1.1073242708628197,0.1150181338299211,0.09,0.0315,24.999907397361905,27.9152466821603,0.2,0.94999999978125,4.374998141543074e-09,0.0,0.9944636405137782,0.0,0.1128606347240396,4.8543729882333865e-05
2024-09-19 02:30:00,1.064145362257799,0.1273624491245481,0.09,0.0315,24.999907397361905,28.22813532088208,0.2,0.9499999999890625,2.1874946298794384e-10,0.0,0.9393302582668288,0.0,0.12481510420971967,5.731526058363995e-05
2024-09-19 02:45:00,0.9374138301623106,0.139570381518571,0.09,0.0315,24.999907397361905,28.537567092285062,0.2,0.9499999999994531,1.0937917238607042e-11,0.0,0.8008065102153329,0.0,0.13660731995791564,6.666888511474588e-05
2024-09-19 03:00:00,1.2094704389487705,0.151628858452207,0.09,0.0315,24.999907397361905,28.843210649078014,0.2124264068711928,0.9499999999999726,5.46229728115577e-13,0.0,1.0612447309042654,0.0,0.14822570804505142,7.657088416100057e-05
2024-09-19 03:15:00,1.1054465318520967,0.1635249674063236,0.09,0.0315,24.999907397361905,29.144738700484773,0.2124264068711928,0.9499999999999986,2.6645352591003757e-14,0.0,0.9457875694676248,0.0,0.15965896238449856,8.698511299106356e-05
2024-09-19 03:30:00,1.1351671607679106,0.1752459697294877,0.09,0.0315,24.999907397361905,29.441828362715448,0.2124264068711928,0.9499999999999998,2.220446049250313e-15,0.0,0.9642711087952359,0.0,0.17089605197267688,9.787314952824339e-05
2024-09-19 03:45:00,1.0448457100769477,0.1867793142788326,0.09,0.0315,24.999907397361905,29.73416150471843,0.2124264068711928,0.95,0.0,0.0,0.8629194825653607,0.0,0.18192622751158702,0.00010919445226302553
2024-09-19 04:00:00,1.2228448179085438,0.198112650860136,0.09,0.0315,24.999907397361905,30.021425088843124,0.2219615242270663,0.95,0.0,0.0,1.0301057904856377,0.0,0.1927390274229062,0.00012090652733767054
2024-09-19 04:15:00,1.233347713157653,0.2092338434527177,0.09,0.0315,24.999907397361905,30.303311506048477,0.2219615242270663,0.95,0.0,0.0,1.0300234298869082,0.0,0.2033242832707446,0.000132965104094395
2024-09-19 04:30:00,1.194324398692617,0.2201309832049938,0.09,0.0315,24.999907397361905,30.579518905298457,0.2219615242270663,0.95,0.0,0.0,0.980652274080613,0.0,0.21367212461200408,0.0001453243183422688
2024-09-19 04:45:00,1.1664480228407017,0.2307924011867742,0.09,0.0315,24.999907397361905,30.849751516791716,0.2219615242270663,0.95,0.0,0.0,0.9426750395456983,0.0,0.2237729832950034,0.00015793690256484292
2024-09-19 05:00:00,1.4156740426870136,0.2412066808846444,0.09,0.0315,24.999907397361905,31.113719968679263,0.2279555495773441,0.95,0.0,0.0,1.1820564454583962,0.0,0.23361759722861747,0.00017075438226060578
2024-09-19 05:15:00,1.0961304780154046,0.2513626704270548,0.09,0.0315,24.999907397361905,31.37114159693114,0.2279555495773441,0.95,0.0,0.0,0.8529334643697742,0.0,0.2431970136456304,0.00018372727758204878
2024-09-19 05:30:00,1.1274814643522262,0.2612494945260235,0.09,0.0315,24.999907397361905,31.621740748020105,0.2279555495773441,0.95,0.0,0.0,0.8749788724669239,0.0,0.25250259188530233,0.00019680530941622572
2024-09-19 05:45:00,1.233268995934368,0.2708565661226675,0.09,0.0315,24.999907397361905,31.865249074098344,0.2279555495773441,0.95,0.0,0.0,0.9717429902130597,0.0,0.2615260057213083,0.00020993760903058225
2024-09-19 06:00:00,1.0765546451318109,0.2801735977240903,0.21,0.0735,24.999907397361905,32.10140582035108,0.23,0.95,0.0,0.0,0.8062953998696036,0.0,0.27025924526220724,0.00052050350424886
2024-09-19 06:15:00,1.052213358501114,0.2891906124194866,0.21,0.0735,24.999907397361905,32.32995810421934,0.23,0.95,0.0,0.0,0.7735187400486663,0.0,0.27869461845244764,0.0005510396832695468
2024-09-19 06:30:00,1.213431613294898,0.2978979545636691,0.21,0.0735,24.999907397361905,32.55066118619294,0.23,0.95,0.0,0.0,0.926606861092294,0.0,0.2868247522026039,0.000581343123955922
2024-09-19 06:45:00,1.146142954044947,0.3062863001165747,0.21,0.0735,24.999907397361905,32.76327873188371,0.23,0.95,0.0,0.0,0.8515003608668845,0.0,0.2946425931780625,0.0006112946142718898
2024-09-19 07:00:00,1.1096675178520865,0.3143466666276804,0.21,0.0735,24.999907397361905,32.96758306509822,0.2279555495773441,0.95,0.0,0.0,0.8075261095763405,0.0,0.302141408275746,0.0006407760634765571
2024-09-19 07:15:00,1.0560638431344411,0.3220704228546356,0.21,0.0735,24.999907397361905,33.1633554116392,0.2279555495773441,0.95,0.0,0.0,0.7467490583157788,0.0,0.30931478481866237,0.0006696709968885949
2024-09-19 07:30:00,0.953532461284119,0.3294492980058137,0.21,0.0735,24.999907397361905,33.35038613357443,0.2279555495773441,0.95,0.0,0.0,0.6373758307860016,0.0,0.3161566304981173,0.0006978650441540592
2024-09-19 07:45:00,0.9573568843100696,0.336475390596882,0.21,0.0735,24.999907397361905,33.528474953722224,0.2279555495773441,0.95,0.0,0.0,0.6346957112167741,0.0,0.3226611730932955,0.0007252464189382896
2024-09-19 08:00:00,0.9380217781947884,0.3431411769119097,0.21,0.0735,24.999907397361905,33.697431170113354,0.2219615242270663,0.95,0.0,0.0,0.6091988181971348,0.0,0.32882295999765354,0.0007517063879984487
2024-09-19 08:15:00,0.9795084319206891,0.3494395190599508,0.21,0.0735,24.999907397361905,33.85707386019941,0.2219615242270663,0.95,0.0,0.0,0.6448715743395659,0.0,0.3346368575811233,0.0007771397276384423
2024-09-19 08:30:00,0.9097274342298204,0.3553636726184772,0.21,0.0735,24.999907397361905,34.00723207458922,0.2219615242270663,0.95,0.0,0.0,0.5696293838132762,0.0,0.3400980504165441,0.0008014451656014857
2024-09-19 08:45:00,0.7629042152966341,0.360907293855474,0.21,0.0735,24.999907397361905,34.14774502010577,0.2219615242270663,0.95,0.0,0.0,0.4177021748986341,0.0,0.345202040398,0.0008245258065173838
2024-09-19 09:00:00,0.8685640783626589,0.3660644465224686,0.21,0.0735,24.999907397361905,34.27846223196755,0.2124264068711928,0.95,0.0,0.0,0.518619432584791,0.0,0.3499446457778679,0.0008462895390915384
2024-09-19 09:15:00,0.630479071674962,0.3708296082112123,0.21,0.0735,24.999907397361905,34.39924373490998,0.2124264068711928,0.95,0.0,0.0,0.27615707152661373,0.0,0.35432200014834825,0.0008666494233003628
2024-09-19 09:30:00,0.7075813889717985,0.3751976762672146,0.21,0.0735,24.999907397361905,34.509960193074456,0.2124264068711928,0.95,0.0,0.0,0.34925083757968667,0.0,0.3583305513921118,0.0008855240559428988
2024-09-19 09:45:00,0.6064409738421195,0.379163973253793,0.21,0.0735,24.999907397361905,34.61049304850444,0.2124264068711928,0.95,0.0,0.0,0.24447391321671785,0.0,0.3619670606254016,0.0009028379129905457
2024-09-19 10:00:00,0.5975090045420012,0.3827242519607893,0.21,0.0735,24.999907397361905,34.70073464810025,0.2,0.95,0.0,0.0,0.23228040338646078,0.0,0.3652286011555404,0.0009185216672755671
2024-09-19 10:15:00,0.795511836095266,0.3858746999525888,0.21,0.0735,24.999907397361905,34.78058835889674,0.2,0.95,0.0,0.0,0.4273992786219972,0.0,0.36811255747326876,0.0009325124801643004
