,load_kw,pv_kw_raw,price_import_gbp_per_kwh,price_export_gbp_per_kwh,ambient_c,cell_temp_c,carbon_intensity,soc,pch,pdis,pimp,pexp,pv_kw_eff,pv_kw_ac,deg_cost_pv,lambda_batt_t,lambda_pv_t,thermal_protection,supervisor_stress,pv_inverter_loss_kw,batt_inverter_loss_kw
2024-05-28 19:30:00,1.4034228719841102,0.4214189416807763,0.39,0.1364999999999999,11.14336593756393,21.82497895918405,0.1120444504226559,0.5869472461515126,0.0,0.9911427738873351,0.0,0.0,0.41228009809677507,0.41228009809677507,0.0,0.11742460991957629,0.008264492229889535,0.0,0.14678076239947035,0.012750930868972443,0.04129761557863909
2024-05-28 19:45:00,1.225738865052137,0.4005574480605201,0.39,0.1364999999999999,11.14336593756393,21.296207278879827,0.1120444504226559,0.5326082782848824,0.0,0.8330495262937121,0.0,0.0,0.39268933875842493,0.39268933875842493,0.0,0.11268636973472367,0.007871779413828679,0.0,0.14085796216840457,0.012145031095621373,0.03471039692890465
2024-05-28 20:00:00,1.1441238404422405,0.3792670274920104,0.39,0.1364999999999999,11.14336593756393,20.75656368176637,0.1180384757729337,0.486936703378429,0.0,0.7715159455261121,0.0,0.0,0.37260789491612833,0.37260789491612833,0.0,0.11050996907845977,0.007469230425008299,0.0,0.1381374613480747,0.011523955512869943,0.032146497730254686
2024-05-28 20:15:00,1.232217198549216,0.3575704782908595,0.39,0.1364999999999999,11.14336593756393,20.206626031724078,0.1180384757729337,0.4446386800491465,0.0,0.8801651500774398,0.0,0.0,0.3520520484717763,0.3520520484717763,0.0,0.11285912529464577,0.0070571716474869236,0.0,0.1410739066183072,0.010888207684694118,0.03667354791989341
2024-05-28 20:30:00,1.2483706458747856,0.3354910336653905,0.39,0.1364999999999999,11.14336593756393,19.64698321576304,0.1180384757729337,0.39638401173349735,0.0,0.9173318628128935,0.0,0.0,0.33103878306189216,0.33103878306189216,0.0,0.18718049930618696,0.006635943532168515,0.0,0.23397562413273368,0.010238312878202871,0.03822216095053721
2024-05-28 20:45:00,1.1056139803635567,0.3130523368379387,0.39,0.1364999999999999,11.14336593756393,19.07823451342812,0.1180384757729337,0.3460916946933168,0.0,0.7960281929607609,0.0,0.0,0.3095857874027958,0.3095857874027958,0.0,0.2685747567018013,0.006205900663859021,0.0,0.33571844587725164,0.009574818167096766,0.03316784137336504
2024-05-28 21:00:00,1.2230771821836433,0.290278415727095,0.39,0.1364999999999999,11.14336593756393,18.500988955075385,0.1275735931288071,0.3024497981494154,0.0,0.9353657252247473,0.0,0.0,0.287711456958896,0.287711456958896,0.0,0.3456416158364758,0.005767411794708683,0.0,0.4320520197955947,0.008898292483264847,0.038973571884364455
2024-05-28 21:15:00,1.2637340341664676,0.2671936572180092,0.39,0.1364999999999999,11.14336593756393,17.91586466970714,0.1275735931288071,0.25116878251209374,0.0,0.9982991403223898,0.0,0.0,0.2654348938440778,0.2654348938440778,0.0,0.4336018721063039,0.005320859842235237,0.0,0.5420023401328798,0.008209326613734358,0.0415957975134329
2024-05-28 21:30:00,1.1456834081414409,0.2438227810483028,0.39,0.1364999999999999,11.14336593756393,17.323488223063915,0.1275735931288071,0.19643746999441883,0.0,0.9029075032690835,0.0,0.0,0.24277590487235734,0.24277590487235734,0.0,0.4705515575504385,0.004866641850247713,0.0,0.5881894469380481,0.00750853314038219,0.03762114596954513
2024-05-28 21:45:00,1.0347409957583875,0.2201908133375551,0.39,0.1364999999999999,11.14336593756393,16.72449394668219,0.1275735931288071,0.14693596213975416,0.0,0.814985998077739,0.0,0.0,0.21975499768064854,0.21975499768064854,0.0,0.4675930932202237,0.004405168911124111,0.0,0.5844913665252796,0.006796546320020053,0.033957749919905855
